id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,I don’t have enough information.,0.007317073170731707,0.0,0.0024330900243309003
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,The following are the most common cancer therapies.,0.007317073170731707,0.0,0.014563106796116504
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,therapies,0.007317073170731707,0.0,0.0024479804161566705
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,I don’t have enough information.,0.007317073170731707,0.0,0.0024330900243309003
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,I don’t have enough information.,0.007317073170731707,0.0,0.0024330900243309003
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,I don’t have enough information.,0.007317073170731707,0.0,0.0024330900243309003
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,I don’t have enough information.,0.007317073170731707,0.0,0.0024330900243309003
id,question,answer,rougeL_q_ctx,rougeL_q_ans,rougeL_ctx_ans
1,What is Stem cell?,therapies,0.007317073170731707,0.0,0.0024479804161566705
